Fencer,2025-05-06 After Poules,2025-05-06 After DEs,2025-05-13 After Poules,2025-05-13 After DEs,2025-05-20 After Poules,2025-05-20 After DEs,2025-05-27 After Poules,2025-05-27 After DEs,2025-06-03 After Poules,2025-06-03 After DEs,2025-06-10 After Poules,2025-06-10 After DEs,2025-06-17 After Poules,2025-06-17 After DEs,2025-06-24 After Poules,2025-06-24 After DEs,2025-07-01 After Poules,2025-07-01 After DEs,2025-07-08 After Poules,2025-07-08 After DEs,2025-07-15 After Poules,2025-07-15 After DEs,2025-09-01 After Poules,2025-09-01 After DEs,2025-09-09 After Poules,2025-09-09 After DEs,2025-09-16 After Poules,2025-09-16 After DEs,2025-09-23 After Poules,2025-09-23 After DEs,2025-09-30 After Poules,2025-09-30 After DEs,2025-10-07 After Poules,2025-10-07 After DEs,2025-10-14 After Poules,2025-10-14 After DEs,2025-10-21 After Poules,2025-10-21 After DEs,2025-10-28 After Poules,2025-10-28 After DEs,2025-11-04 After Poules,2025-11-04 After DEs,2025-11-10 After Poules,2025-11-10 After DEs,2025-11-18 After Poules,2025-11-18 After DEs,2025-11-25 After Poules,2025-11-25 After DEs,2025-12-02 After Poules,2025-12-02 After DEs,2025-12-09 After Poules,2025-12-09 After DEs,2025-12-16 After Poules,2025-12-16 After DEs,2026-01-06 After Poules,2026-01-06 After DEs,2026-01-13 After Poules,2026-01-13 After DEs,2026-01-20 After Poules,2026-01-20 After DEs,2026-01-27 After Poules,2026-01-27 After DEs,2026-02-03 After Poules,2026-02-03 After DEs,2026-02-10 After Poules,2026-02-10 After DEs,2026-02-17 After Poules,2026-02-17 After DEs,2026-02-24 After Poules,2026-02-24 After DEs,2026-03-03 After Poules,2026-03-03 After DEs,2026-03-10 After Poules,2026-03-10 After DEs,2026-03-17 After Poules,2026-03-17 After DEs,2026-03-24 After Poules,2026-03-24 After DEs,2026-04-14 After Poules,2026-04-14 After DEs,2026-04-21 After Poules,2026-04-21 After DEs
Adam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1827.4 (+27.4, #35)",1827.4 (#35),"1807.7 (-19.7, #41)",1807.7 (#41),1807.7 (#42),1807.7 (#43),"1823.7 (+16.0, #37)",1823.7 (#36),1823.7 (#36),1823.7 (#36),1823.7 (#35),1823.7 (#36),1823.7 (#36),1823.7 (#35),1823.7 (#36),1823.7 (#37),1823.7 (#37),1823.7 (#38),1823.7 (#39),1823.7 (#39),1823.7 (#39),1823.7 (#36),1823.7 (#36),1823.7 (#36),1823.7 (#38),1823.7 (#36),"1822.2 (-1.5, #37)",1822.2 (#38),1822.2 (#39),1822.2 (#39),1822.2 (#40),1822.2 (#40),1822.2 (#43),1822.2 (#42),1822.2 (#42),1822.2 (#44)
Adam S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1841.2 (+41.2, #35)","1809.7 (-31.5, #44)",1809.7 (#48),1809.7 (#46),1809.7 (#50),1809.7 (#48)
Adrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1790.6 (-9.4, #36)","1845.1 (+54.5, #27)",1845.1 (#29),1845.1 (#26),1845.1 (#26),1845.1 (#28),"1809.3 (-35.8, #34)","1810.2 (+0.9, #36)",1810.2 (#39),1810.2 (#38),1810.2 (#39),1810.2 (#39),1810.2 (#40),1810.2 (#41),1810.2 (#41),1810.2 (#41),1810.2 (#41),1810.2 (#41),1810.2 (#42),1810.2 (#42),1810.2 (#43),1810.2 (#41),1810.2 (#41),1810.2 (#42),1810.2 (#44),1810.2 (#43),1810.2 (#44),1810.2 (#44),1810.2 (#44),1810.2 (#41),1810.2 (#41),1810.2 (#41),1810.2 (#43),1810.2 (#41),1810.2 (#40),1810.2 (#41),1810.2 (#42),1810.2 (#42),1810.2 (#44),1810.2 (#43),1810.2 (#47),1810.2 (#45),1810.2 (#49),1810.2 (#47)
Adrian L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1844.3 (+44.3, #31)","1937.5 (+93.2, #12)","1900.2 (-37.4, #20)","1855.6 (-44.6, #30)","1833.3 (-22.2, #34)","1844.5 (+11.1, #30)",1844.5 (#30),1844.5 (#29),1844.5 (#29),1844.5 (#30),1844.5 (#30),1844.5 (#30),"1832.5 (-11.9, #34)","1806.1 (-26.4, #43)",1806.1 (#43),1806.1 (#45),1806.1 (#46),1806.1 (#45),1806.1 (#46),1806.1 (#46),1806.1 (#46),1806.1 (#44),1806.1 (#44),1806.1 (#43),1806.1 (#45),1806.1 (#44),1806.1 (#43),1806.1 (#44),1806.1 (#44),1806.1 (#44),1806.1 (#46),1806.1 (#46),1806.1 (#50),1806.1 (#48),1806.1 (#52),1806.1 (#51)
Aisling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1803.9 (+3.9, #28)","1795.4 (-8.5, #27)",1795.4 (#26),1795.4 (#27),"1722.4 (-73.0, #47)",1722.4 (#47),1722.4 (#52),1722.4 (#51),1722.4 (#53),1722.4 (#54),"1740.0 (+17.6, #52)","1748.1 (+8.0, #48)",1748.1 (#50),1748.1 (#51),"1802.6 (+54.5, #35)","1772.9 (-29.7, #47)",1772.9 (#49),1772.9 (#49),1772.9 (#53),1772.9 (#53),1772.9 (#55),1772.9 (#55),1772.9 (#55),1772.9 (#56),1772.9 (#56),1772.9 (#56),1772.9 (#56),1772.9 (#56),"1794.5 (+21.5, #47)","1825.4 (+30.9, #35)",1825.4 (#35),1825.4 (#34),1825.4 (#35),1825.4 (#36),1825.4 (#36),1825.4 (#37),1825.4 (#38),1825.4 (#38),1825.4 (#38),1825.4 (#35),1825.4 (#35),1825.4 (#35),"1835.9 (+10.5, #36)","1784.2 (-51.7, #52)",1784.2 (#53),1784.2 (#53),1784.2 (#53),1784.2 (#53),1784.2 (#55),1784.2 (#55),1784.2 (#58),1784.2 (#57),1784.2 (#61),1784.2 (#59)
Alberto,"1769.7 (-30.3, #20)","1711.8 (-57.8, #23)",1711.8 (#31),1711.8 (#31),1711.8 (#36),1711.8 (#35),"1741.1 (+29.3, #32)","1713.3 (-27.7, #34)",1713.3 (#37),1713.3 (#35),1713.3 (#38),1713.3 (#39),1713.3 (#41),1713.3 (#40),1713.3 (#40),1713.3 (#40),1713.3 (#42),1713.3 (#41),1713.3 (#42),1713.3 (#43),1713.3 (#43),1713.3 (#43),1713.3 (#44),1713.3 (#44),1713.3 (#46),1713.3 (#46),1713.3 (#45),1713.3 (#45),1713.3 (#47),1713.3 (#47),1713.3 (#50),1713.3 (#50),1713.3 (#51),1713.3 (#51),1713.3 (#57),1713.3 (#57),1713.3 (#58),1713.3 (#59),1713.3 (#62),1713.3 (#61),1713.3 (#61),1713.3 (#60),1713.3 (#63),1713.3 (#64),1713.3 (#67),1713.3 (#66),1713.3 (#71),1713.3 (#69),1713.3 (#72),1713.3 (#70),1713.3 (#72),1713.3 (#70),1713.3 (#71),1713.3 (#70),1713.3 (#70),1713.3 (#69),1713.3 (#69),1713.3 (#70),1713.3 (#73),1713.3 (#71),1713.3 (#72),1713.3 (#71),1713.3 (#72),1713.3 (#72),1713.3 (#74),1713.3 (#73),1713.3 (#77),1713.3 (#78),1713.3 (#79),1713.3 (#79),1713.3 (#81),1713.3 (#81),1713.3 (#84),1713.3 (#81),1713.3 (#82),1713.3 (#82),1713.3 (#84),1713.3 (#84),1713.3 (#87),1713.3 (#88),1713.3 (#90),1713.3 (#89)
Alejo,"1823.2 (+23.2, #9)","1808.6 (-14.5, #10)","1871.5 (+62.9, #7)","1826.8 (-44.7, #11)","1829.4 (+2.6, #13)","1901.9 (+72.5, #5)","1914.0 (+12.1, #5)","1910.2 (-3.8, #6)","1913.4 (+3.2, #6)","2089.2 (+175.8, #1)","2060.8 (-28.3, #2)","2016.5 (-44.4, #4)","1984.1 (-32.4, #4)","2026.3 (+42.2, #3)","2009.3 (-16.9, #3)","1995.3 (-14.1, #4)","1950.5 (-44.7, #5)","1879.4 (-71.1, #14)","1877.9 (-1.5, #16)","1931.8 (+53.9, #8)",1931.8 (#8),1931.8 (#8),"1921.0 (-10.8, #10)","1927.3 (+6.3, #9)","1944.8 (+17.5, #7)","1915.1 (-29.7, #12)","1933.7 (+18.5, #9)","1993.6 (+59.9, #6)","1937.4 (-56.2, #9)","2110.1 (+172.8, #2)","2112.1 (+1.9, #1)","2076.2 (-35.9, #4)",2076.2 (#3),2076.2 (#3),2076.2 (#3),2076.2 (#4),2076.2 (#4),2076.2 (#4),2076.2 (#4),2076.2 (#4),"2047.1 (-29.0, #4)","2078.5 (+31.4, #4)","2052.1 (-26.4, #5)","2041.0 (-11.1, #5)","1995.1 (-45.9, #5)","1947.1 (-48.0, #12)","1929.5 (-17.7, #12)","1906.9 (-22.5, #17)","1923.3 (+16.3, #13)","1987.0 (+63.7, #8)",1987.0 (#7),1987.0 (#10),1987.0 (#9),1987.0 (#9),"1987.3 (+0.4, #9)","1942.0 (-45.3, #15)","1971.2 (+29.2, #10)","1904.1 (-67.1, #22)","1937.0 (+32.9, #14)","1974.4 (+37.3, #11)","1969.5 (-4.9, #11)","1929.5 (-40.0, #15)","1913.1 (-16.4, #17)","1902.8 (-10.3, #21)",1902.8 (#23),1902.8 (#22),"1941.2 (+38.5, #15)","2142.8 (+201.5, #4)","2129.5 (-13.3, #4)","2124.4 (-5.1, #5)",2124.4 (#5),2124.4 (#5),"2117.1 (-7.2, #3)","2127.2 (+10.1, #4)","2101.8 (-25.4, #4)","2104.3 (+2.5, #5)",2104.3 (#3),2104.3 (#4),"2084.3 (-20.0, #5)","2003.9 (-80.4, #10)",2003.9 (#9),2003.9 (#8)
Alessandro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1855.6 (+55.6, #25)","1837.1 (-18.5, #28)",1837.1 (#30),1837.1 (#27),1837.1 (#29),1837.1 (#29),1837.1 (#31),1837.1 (#31),1837.1 (#33),1837.1 (#33),1837.1 (#35),1837.1 (#34),1837.1 (#32),1837.1 (#31),1837.1 (#32),1837.1 (#31),1837.1 (#32),1837.1 (#32),1837.1 (#32),1837.1 (#33),1837.1 (#32),1837.1 (#31),1837.1 (#33),1837.1 (#33),1837.1 (#33),1837.1 (#34),1837.1 (#34),1837.1 (#34),1837.1 (#35),1837.1 (#33),1837.1 (#33),1837.1 (#33),1837.1 (#35),1837.1 (#34),1837.1 (#34),1837.1 (#35),1837.1 (#35),1837.1 (#35),1837.1 (#36),1837.1 (#36),1837.1 (#39),1837.1 (#37),1837.1 (#38),1837.1 (#39)
Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1741.0 (-59.0, #54)","1739.9 (-1.1, #56)",1739.9 (#55),1739.9 (#57),1739.9 (#61),1739.9 (#60),1739.9 (#62),1739.9 (#62),1739.9 (#62),1739.9 (#62),1739.9 (#62),1739.9 (#61),1739.9 (#61),1739.9 (#61),1739.9 (#61),1739.9 (#59),1739.9 (#61),1739.9 (#61),1739.9 (#61),1739.9 (#61),1739.9 (#62),1739.9 (#62),1739.9 (#65),1739.9 (#64),1739.9 (#68),1739.9 (#68),1739.9 (#69),1739.9 (#68),1739.9 (#69),1739.9 (#69),1739.9 (#69),1739.9 (#69),1739.9 (#69),1739.9 (#69),1739.9 (#73),1739.9 (#74),1739.9 (#77),1739.9 (#73),1739.9 (#77),1739.9 (#75)
Alex A,,,,,,,,,,,"1868.7 (+68.7, #10)","1942.7 (+74.0, #6)",1942.7 (#6),1942.7 (#6),1942.7 (#6),1942.7 (#6),1942.7 (#6),1942.7 (#6),1942.7 (#6),1942.7 (#6),"1959.9 (+17.2, #5)","2125.8 (+165.9, #2)",2125.8 (#2),2125.8 (#2),2125.8 (#2),2125.8 (#1),"2036.1 (-89.7, #3)","1999.5 (-36.6, #5)",1999.5 (#5),1999.5 (#6),1999.5 (#6),1999.5 (#7),1999.5 (#6),1999.5 (#7),1999.5 (#5),1999.5 (#5),"1972.2 (-27.2, #8)","1953.8 (-18.4, #10)",1953.8 (#10),1953.8 (#11),"1909.7 (-44.1, #15)","1952.6 (+42.9, #11)",1952.6 (#11),1952.6 (#10),1952.6 (#11),1952.6 (#10),1952.6 (#9),1952.6 (#10),1952.6 (#11),1952.6 (#11),1952.6 (#11),1952.6 (#12),"1936.2 (-16.4, #15)","2000.8 (+64.6, #7)","2009.8 (+9.0, #7)","1959.6 (-50.2, #11)",1959.6 (#12),1959.6 (#12),1959.6 (#12),1959.6 (#12),1959.6 (#12),1959.6 (#12),1959.6 (#13),1959.6 (#13),1959.6 (#13),1959.6 (#14),1959.6 (#14),1959.6 (#16),"1954.8 (-4.8, #17)",1954.8 (#17),"1950.4 (-4.4, #17)",1950.4 (#17),"1946.4 (-4.0, #18)",1946.4 (#18),"1942.7 (-3.7, #18)",1942.7 (#18),"1939.3 (-3.4, #19)",1939.3 (#19),"1936.1 (-3.1, #20)",1936.1 (#21),"1933.2 (-2.9, #20)",1933.2 (#21)
