Rank,2025-05-06 After Poules,2025-05-06 After DEs,2025-05-13 After Poules,2025-05-13 After DEs,2025-05-20 After Poules,2025-05-20 After DEs,2025-05-27 After Poules,2025-05-27 After DEs,2025-06-03 After Poules,2025-06-03 After DEs,2025-06-10 After Poules,2025-06-10 After DEs,2025-06-17 After Poules,2025-06-17 After DEs,2025-06-24 After Poules,2025-06-24 After DEs,2025-07-01 After Poules,2025-07-01 After DEs,2025-07-08 After Poules,2025-07-08 After DEs,2025-07-15 After Poules,2025-07-15 After DEs,2025-09-01 After Poules,2025-09-01 After DEs,2025-09-09 After Poules,2025-09-09 After DEs,2025-09-16 After Poules,2025-09-16 After DEs,2025-09-23 After Poules,2025-09-23 After DEs,2025-09-30 After Poules,2025-09-30 After DEs,2025-10-07 After Poules,2025-10-07 After DEs,2025-10-14 After Poules,2025-10-14 After DEs,2025-10-21 After Poules,2025-10-21 After DEs,2025-10-28 After Poules,2025-10-28 After DEs,2025-11-04 After Poules,2025-11-04 After DEs,2025-11-10 After Poules,2025-11-10 After DEs,2025-11-18 After Poules,2025-11-18 After DEs,2025-11-25 After Poules,2025-11-25 After DEs,2025-12-02 After Poules,2025-12-02 After DEs,2025-12-09 After Poules,2025-12-09 After DEs,2025-12-16 After Poules,2025-12-16 After DEs,2026-01-06 After Poules,2026-01-06 After DEs,2026-01-13 After Poules,2026-01-13 After DEs,2026-01-20 After Poules,2026-01-20 After DEs,2026-01-27 After Poules,2026-01-27 After DEs,2026-02-03 After Poules,2026-02-03 After DEs,2026-02-10 After Poules,2026-02-10 After DEs,2026-02-17 After Poules,2026-02-17 After DEs,2026-02-24 After Poules,2026-02-24 After DEs,2026-03-03 After Poules,2026-03-03 After DEs,2026-03-10 After Poules,2026-03-10 After DEs,2026-03-17 After Poules,2026-03-17 After DEs,2026-03-24 After Poules,2026-03-24 After DEs,2026-04-14 After Poules,2026-04-14 After DEs,2026-04-21 After Poules,2026-04-21 After DEs,2026-04-28 After Poules,2026-04-28 After DEs,2026-05-05 After Poules,2026-05-05 After DEs
1,Darran (1874.2),Eric L (2106.9) (+257.2),Eric L (2028.6) (-78.3),Greg (2138.6) (+167.4),Greg (2108.7) (-29.8),Rudi (2127.5) (+276.6),Rudi (2127.5),Rudi (2127.5),Rudi (2085.4) (-42.0),Alejo (2085.1) (+170.1),Rudi (2061.4),Greg (2118.6) (+155.1),Greg (2082.9) (-35.7),Greg (2209.5) (+126.6),Greg (2166.2) (-43.3),Greg (2235.7) (+69.5),Greg (2191.2) (-44.4),Greg (2258.4) (+67.2),Greg (2205.7) (-52.7),Greg (2270.7) (+64.9),Greg (2220.2) (-50.5),Greg (2174.3) (-45.9),Greg (2142.2) (-32.1),Greg (2210.2) (+68.0),Greg (2140.2) (-70.0),Alex A (2112.7),Greg (2092.9) (-5.7),Greg (2181.8) (+88.9),Greg (2154.5) (-27.3),Greg (2127.9) (-26.6),Alejo (2099.1) (+3.3),Garen (2149.9) (+200.9),Garen (2147.1) (-2.8),Garen (2255.8) (+108.8),Garen (2255.8),Garen (2255.8),Garen (2255.8),Garen (2255.8),Garen (2255.8),Garen (2255.8),Garen (2255.8),Garen (2255.8),Garen (2255.8),Garen (2255.8),Garen (2202.7) (-53.1),Fassel (2112.4),Roeland (2106.3),Greg (2152.1) (+152.0),Greg (2119.6) (-32.5),Greg (2223.1) (+103.5),Greg (2183.0) (-40.1),Greg (2277.1) (+94.1),Greg (2277.1),Greg (2277.1),Greg (2273.3) (-3.8),Greg (2335.9) (+62.6),Greg (2272.6) (-63.2),Greg (2229.5) (-43.1),Greg (2202.8) (-26.7),Greg (2180.6) (-22.2),Sameer (2172.5),Sameer (2172.5),Sameer (2172.5),Sameer (2172.5),Sameer (2172.5),Eric L (2227.2) (+127.2),Eric L (2188.0) (-39.2),Sameer (2172.5),Sameer (2172.5),Sameer (2172.5),Willie (2162.0),Willie (2162.0),Willie (2156.3) (-5.7),Alex Y (2191.3) (+130.0),Alex Y (2191.3),Alex Y (2191.3),Alex Y (2191.3),Alex Y (2191.3),Alex Y (2145.1) (-46.2),Greg (2219.3) (+115.8),Greg (2186.3) (-33.0),Greg (2297.1) (+110.8),Greg (2257.2) (-39.9),Greg (2346.5) (+89.3),Greg (2316.4) (-30.1),Greg (2390.0) (+73.7)
2,Shevy (1872.9),Greg (1920.8) (+52.6),Greg (1971.1) (+50.4),Truuvy (1950.2) (+43.7),Eric L (1897.6) (+20.2),Greg (2071.2) (-37.6),Greg (2066.9) (-4.3),Greg (2051.5) (-15.4),Greg (2039.8) (-11.7),Rudi (2061.4) (-24.0),Alejo (2057.3) (-27.9),Rudi (2061.4),Rudi (2061.4),Rudi (2061.4),Rudi (2061.4),Rudi (2061.4),Rudi (2061.4),Rudi (2061.4),Rudi (2061.4),Rudi (2061.4),Rudi (2061.4),Alex A (2112.7) (+159.1),Alex A (2112.7),Alex A (2112.7),Alex A (2112.7),Greg (2098.6) (-41.6),Sameer (2086.3),Sameer (2086.3),Sameer (2086.3),Alejo (2095.8) (+168.4),Sameer (2096.1) (+9.7),Greg (2089.4) (-3.4),Sameer (2067.1),Sameer (2067.1),Sameer (2067.1),Charlie (2090.9) (+177.5),Charlie (2086.7) (-4.2),Willie (2104.9) (+192.9),Willie (2094.9) (-10.0),Fassel (2082.6) (+241.7),Fassel (2092.4) (+9.8),Greg (2159.2) (+172.2),Greg (2159.2),Greg (2159.2),Fassel (2112.4),Roeland (2106.3) (+157.0),Fassel (2053.3) (-59.0),Roeland (2106.3),Roeland (2106.3),Roeland (2106.3),Roeland (2077.6) (-28.7),Garen (2047.3),Garen (2047.3),Willie (2159.5) (+167.2),Willie (2054.1) (-105.4),Willie (2108.0) (+53.9),Willie (2060.1) (-48.0),Sameer (2172.5) (+246.8),Sameer (2172.5),Sameer (2172.5),Greg (2167.4) (-13.2),Willie (2166.7),Greg (2149.1),Greg (2149.1),Greg (2155.7) (+6.6),Sameer (2172.5),Sameer (2172.5),Eric L (2159.5) (-28.5),Eric L (2159.5),Willie (2162.0) (+133.1),Eric L (2159.5),Eric L (2159.5),Eric L (2118.9) (-40.7),Willie (2156.3),Willie (2156.3),Willie (2156.3),Greg (2140.0) (-4.6),Fassel (2137.8) (+138.0),Fassel (2129.8) (-8.0),Fassel (2116.2) (-13.6),Fassel (2116.2),Fassel (2116.2),Eric L (2088.6) (-8.6),Eric L (2087.3) (-1.3),Willie (2064.7) (-15.3),Tom T (2097.1) (+52.8)
3,Greg (1868.1),Tom (1910.2) (+65.2),Truuvy (1906.5) (+69.3),Vadym (1892.0) (+75.4),Vadym (1892.0),Shevy (1912.4) (+98.2),Alejo (1918.4) (+8.1),Truuvy (2034.8) (+176.8),Truuvy (2017.1) (-17.7),Truuvy (2030.1) (+13.0),Truuvy (2030.1),Truuvy (2030.1),Truuvy (1987.5) (-42.6),Alejo (2018.0) (+36.8),Alejo (2002.5) (-15.5),Vincent (1999.6) (+37.6),Vincent (1999.6),Vincent (1999.6),Vincent (1999.6),Vincent (1999.6),Vincent (1999.6),Rudi (2061.4),Rudi (2048.5) (-12.9),Rudi (2048.5),Rudi (2036.6) (-11.9),Sameer (2086.3) (+185.6),Rudi (2025.7) (-10.9),Rudi (2025.7),Rudi (2015.7) (-10.1),Sameer (2086.3),Greg (2092.8) (-35.1),Sameer (2067.1) (-28.9),Alejo (2064.2),Alejo (2064.2),Alejo (2064.2),Sameer (2067.1),Sameer (2067.1),Sameer (2067.1),Sameer (2067.1),Sameer (2067.1),Sameer (2067.1),Fassel (2075.0) (-17.3),Fassel (2070.1) (-5.0),Fassel (2112.4) (+42.3),Greg (2090.4) (-68.8),Sameer (2053.8),Garen (2047.3),Fassel (2066.5) (+13.2),Garen (2047.3),Garen (2047.3),Garen (2047.3),Roeland (2046.1) (-31.5),Roeland (2046.1),Garen (2047.3),Garen (2047.3),Garen (2047.3),Garen (2047.3),Garen (2047.3),Roeland (2046.1),Willie (2166.7) (+175.8),Willie (2166.7),Charlie (2159.4) (+137.2),Charlie (2145.1) (-14.3),Willie (2123.8) (-5.0),Eric L (2100.0) (-23.8),Greg (2153.8) (-1.8),Greg (2153.8),Greg (2153.8),Greg (2153.8),Eric L (2159.5),Sameer (2150.7) (-21.8),Sameer (2150.7),Alejo (2102.5) (-6.6),Eric L (2118.9),Eric L (2118.9),Greg (2144.6) (+85.4),Alejo (2086.3),Greg (2119.0) (-21.0),Greg (2103.5) (-15.5),Eric L (2073.8),Eric L (2088.8) (+15.0),Eric L (2097.3) (+8.4),Fassel (2082.4) (-33.7),Willie (2080.0) (+95.4),Eric L (2051.5) (-35.8),Fassel (2094.6) (+72.7)
4,Steph (1855.7),Pierre (1881.8) (+81.4),Pierre (1881.8),Pierre (1881.8),Pierre (1890.1) (+8.3),Alejo (1910.2) (+68.7),Shevy (1912.4),Clemens (1949.5) (+46.6),Clemens (1949.5),Greg (2024.4) (-15.4),Greg (1963.5) (-60.9),Alejo (2013.2) (-44.1),Alejo (1981.2) (-32.0),Truuvy (1943.4) (-44.2),Vincent (1961.9) (+18.6),Alejo (1989.8) (-12.7),Alejo (1946.1) (-43.7),Sammy (1954.8) (+49.0),Truuvy (1943.4),Charlie (1957.5) (+74.4),Charlie (1957.5),Vincent (1999.6),Vincent (1977.7) (-21.8),Vivian (1960.4) (+58.0),Charlie (1957.5),Rudi (2036.6),Alex A (2025.1) (-87.6),Sammy (2002.3) (+79.2),Sammy (2002.3),Rudi (2015.7),Rudi (2006.4) (-9.3),Alejo (2064.2) (-34.9),Greg (2037.7) (-51.7),Greg (2037.4) (-0.4),Greg (2036.2) (-1.2),Alejo (2064.2),Alejo (2064.2),Alejo (2064.2),Alejo (2064.2),Alejo (2064.2),Alejo (2037.6) (-26.6),Sameer (2067.1),Sameer (2067.1),Sameer (2067.1),Sameer (2053.8) (-13.4),Garen (2047.3) (-155.4),Sameer (2036.1) (-17.7),Garen (2047.3),Fassel (2022.7) (-43.8),Eric L (2031.4) (+54.1),Eric L (2031.4),Eric L (2031.4),Eric L (2025.3) (-6.1),Roeland (2046.1),Roeland (2046.1),Roeland (2046.1),Roeland (2046.1),Roeland (2046.1),Charlie (2042.7) (+22.3),Sammy (2066.6) (+70.3),Sammy (2066.6),Greg (2149.1) (-18.3),Willie (2128.8) (-37.8),Eric L (2123.8) (+140.5),Willie (2067.8) (-56.0),Sammy (2081.0) (+31.6),Willie (2071.2),Alejo (2131.5) (+195.5),Alejo (2119.2) (-12.3),Greg (2153.8),Alejo (2109.1),Alex Y (2118.3) (+141.9),Sameer (2100.7) (-50.0),Alejo (2114.4) (+11.9),Alejo (2089.4) (-25.0),Eric L (2118.9),Eric L (2073.6) (-45.3),Alejo (2086.3),Eric L (2073.8),Alex Y (2072.5) (-72.6),Sammy (2039.7) (-12.1),Alex Y (2059.3) (+49.8),Sammy (2028.5) (-11.2),Tom T (2054.2) (+38.0),Tom T (2044.3) (-10.0),Willie (2041.7) (-23.1)
5,Charlie (1855.4),Sammy (1877.4) (+95.9),Tom (1879.2) (-30.9),Sammy (1877.4),Alex Y (1886.2) (+85.3),Eric L (1897.6),Vadym (1910.8) (+18.8),Alejo (1912.7) (-5.7),Alejo (1915.1) (+2.3),Clemens (1949.5),Clemens (1949.5),Clemens (1949.5),Clemens (1955.9) (+6.4),Vincent (1943.4) (+62.8),Truuvy (1943.4),Truuvy (1943.4),Truuvy (1943.4),Truuvy (1943.4),Alex A (1936.4),Truuvy (1943.4),Alex A (1953.6) (+17.2),Charlie (1957.5),Charlie (1957.5),Charlie (1957.5),Vivian (1951.5) (-8.9),Vivian (1984.1) (+32.6),Eric L (1989.6) (+33.9),Alex A (1990.7) (-34.4),Alex A (1990.7),Sammy (2002.3),Sammy (2002.3),Rudi (2006.4),Rudi (1997.9) (-8.5),Sammy (2036.7) (+63.1),Alex A (1990.7),Alex A (1990.7),Rudi (1982.9) (-7.2),Rudi (1982.9),Charlie (1987.4) (+5.8),Willie (2011.1) (-83.8),Charlie (2006.1) (+4.1),Alejo (2058.9) (+21.3),Alejo (2035.5) (-23.4),Alejo (2025.8) (-9.7),Alejo (1982.2) (-43.6),Greg (2019.4) (-71.0),Greg (2000.1) (-19.3),Sammy (2010.2) (+49.3),Sammy (2010.2),Sammy (2010.2),Sammy (2010.2),Tom T (2020.7) (+92.8),Sammy (2010.2),Fassel (2032.5) (+29.4),Fassel (2025.0) (-7.5),Sammy (2010.2),Eric L (2028.5) (+24.6),Charlie (2020.4) (+45.5),Garen (2035.5) (-11.8),Roeland (2046.1),Roeland (2046.1),Sammy (2066.6),Sammy (2066.6),Charlie (2077.1) (-68.0),Sammy (2049.4) (-17.2),Willie (2071.2) (+3.4),Sammy (2048.3) (-32.7),Willie (2071.2),Sammy (2051.9),Alejo (2109.1) (-10.1),Greg (2108.4) (-45.5),Alejo (2109.1),Greg (2073.1) (-17.0),Greg (2066.3) (-6.9),Greg (2059.3) (-7.0),Alejo (2086.3) (-3.1),Willie (2061.7) (-94.6),Eric L (2073.8) (+0.2),Alejo (2068.0) (-18.4),Sammy (2051.9),Charlie (2030.5) (+32.8),Sammy (2039.7),Alex Y (2022.2) (-37.1),Sammy (2028.5),Alex Y (2023.0),Alex Y (2023.0)
6,Eric L (1849.7),Shevy (1872.9),Sammy (1877.4),Eric L (1877.4) (-151.2),Sammy (1877.4),Vadym (1892.0),Clemens (1902.8) (+53.5),Shevy (1912.4),Shevy (1912.4),Shevy (1912.4),Eric L (1928.3) (+36.0),Alex A (1936.4) (+68.1),Alex A (1936.4),Alex A (1936.4),Alex A (1936.4),Alex A (1936.4),Alex A (1936.4),Alex A (1936.4),Sammy (1932.9) (-21.9),Alex A (1936.4),Truuvy (1943.4),Truuvy (1943.4),Eric L (1949.7) (+72.1),Vincent (1946.2) (-31.5),Vincent (1946.6) (+0.3),Charlie (1957.5),Charlie (1980.8) (+23.2),Alejo (1981.5) (+45.1),Charlie (1962.3) (+18.1),Alex A (1990.7),Alex A (1990.7),Sammy (2002.3),Alex A (1990.7),Rudi (1997.9),Rudi (1990.1) (-7.8),Rudi (1990.1),Greg (1982.8) (+10.6),Charlie (1981.5) (-105.1),Roeland (1980.4),Charlie (2002.1) (+14.7),Greg (1987.0) (+28.6),Roeland (1980.4),Roeland (1984.7) (+4.2),Roeland (1981.1) (-3.6),Sammy (1978.8),Sammy (1978.8),Eric L (1998.2) (+38.1),Eric L (1980.6) (-17.6),Eric L (1977.3) (-3.3),Fassel (2005.0) (-17.8),Alejo (1975.5),Fassel (2014.7) (+43.8),Fassel (2003.1) (-11.6),Sammy (2010.2),Sammy (2010.2),Eric L (2003.9) (+3.4),Sammy (2010.2),Sammy (2010.2),Eric L (2009.0),Garen (2035.5),Garen (2024.7) (-10.8),Roeland (2046.1),Roeland (2046.1),Sammy (2066.6),Charlie (2043.9) (-33.2),Roeland (2034.4),Charlie (2030.4) (+25.2),Sammy (2051.9) (+3.6),Willie (2028.9) (-42.4),Sammy (2051.9),Sammy (2051.9),Greg (2090.1) (-18.3),Alex Y (2061.3) (-57.0),Sammy (2051.9),Sammy (2051.9),Sammy (2051.9),Sammy (2051.9),Sammy (2051.9),Sammy (2051.9),Vivian (2033.4) (+71.3),Oleg (2021.7),Oleg (2021.7),Tom T (2016.2) (+66.0),Alex Y (2023.0) (+0.8),Fassel (2021.8) (+5.2),Sammy (2018.2)
7,Tom (1844.9),Darran (1867.0) (-7.3),Alejo (1870.5) (+61.8),Darran (1867.0),Darran (1867.0),Pierre (1885.3) (-4.7),Eric L (1892.3) (-5.3),Eric L (1892.3),Eric L (1892.3),Eric L (1892.3),Shevy (1912.4),Shevy (1912.4),Shevy (1921.4) (+8.9),Alex Y (1926.1) (+38.8),Alex Y (1926.1),Alex Y (1926.1),Alex Y (1926.1),Alex Y (1926.1),Alex Y (1930.2) (+4.2),Vivian (1927.0) (+38.9),Vivian (1927.0),Vivian (1927.0),Truuvy (1943.4),Truuvy (1943.4),Truuvy (1943.4),Eric L (1955.6) (+22.4),Vivian (1953.0) (-31.1),Vivian (1948.2) (-4.7),Eric L (1950.9) (+42.1),Vincent (1958.3) (+32.5),Vincent (1954.8) (-3.6),Alex A (1990.7),Sammy (1973.7) (-28.6),Alex A (1990.7),Sammy (1973.0) (-63.7),Sammy (1978.8) (+5.8),Sammy (1978.8),Roeland (1980.4) (+53.6),Eric L (1979.7),Roeland (1980.4),Roeland (1980.4),Charlie (1979.4) (-26.7),Charlie (1983.0) (+3.6),Sammy (1978.8),Charlie (1961.1) (+25.4),Eric L (1960.0),Sammy (1960.9) (-17.9),Tom (1975.1) (+59.4),Tom T (1976.0) (+70.5),Alejo (1975.5) (+50.4),Tom (1975.1),Sammy (2010.2),Willie (1992.3) (-11.9),Eric L (1980.2) (-45.1),Eric L (2000.5) (+20.3),Tom (1975.1),Tom (1975.1),Eric L (2009.0) (-19.5),Fassel (2003.9) (-0.1),Charlie (2015.5) (-27.2),Charlie (2022.2) (+6.7),Garen (2024.7),Garen (2014.7) (-10.0),Roeland (2046.1),Roeland (2034.4) (-11.7),Fassel (2009.6) (-11.9),Roeland (2023.6) (-10.8),Roeland (2023.6),Roeland (2013.7) (-9.9),Roeland (2013.7),Fassel (2009.6),Sammy (2051.9),Sammy (2051.9),Sameer (2032.4) (-68.3),Sameer (2032.4),Sameer (2032.4),Sameer (2032.4),Sameer (2032.4),Oleg (2021.7),Oleg (2021.7),Vivian (2017.6) (-15.8),Willie (2003.7) (+24.9),Sameer (1998.7),Fassel (2016.6) (-65.8),Sammy (2018.2) (-10.3),Sameer (1998.7)
8,Truuvy (1828.0),Truuvy (1837.2) (+9.3),Darran (1867.0),Vincent (1847.6) (+51.2),Truuvy (1853.9) (-96.3),Tom (1880.9) (+67.0),Pierre (1885.3),Pierre (1885.3),Pierre (1885.3),Pierre (1885.3),Pierre (1885.3),Vivian (1895.5) (+41.0),John H (1892.2),Shevy (1921.4),Shevy (1921.4),Shevy (1921.4),Shevy (1921.4),Shevy (1921.4),Shevy (1921.4),Sammy (1926.8) (-6.1),Sammy (1926.8),Sammy (1926.8),Sammy (1926.8),Sammy (1926.8),Alejo (1937.3) (+18.7),Truuvy (1943.4),Truuvy (1939.9) (-3.5),Charlie (1944.2) (-36.5),Truuvy (1936.7) (-3.2),Eric L (1950.9),Eric L (1950.9),Roeland (1964.6) (+76.5),Roeland (1964.6),Roeland (1964.6),Roeland (1964.6),Greg (1972.2) (-63.9),Alex A (1965.1) (-25.6),Eric L (1979.7) (+31.8),Sammy (1978.8),Eric L (1979.7),Willie (1980.0) (-31.1),Sammy (1978.8),Sammy (1978.8),Rudi (1964.5),Eric L (1960.0),Rudi (1959.4),Rudi (1954.6) (-4.7),Rudi (1954.6),Tom (1975.1),Tom (1975.1),Fassel (1970.9) (-34.1),Willie (2004.1) (+57.8),Alejo (1975.5),Alex A (1977.2) (+44.0),Alex A (1992.0) (+14.8),Vivian (1974.5) (+63.9),Charlie (1974.8) (+19.1),Willie (2006.1) (-54.0),Sammy (1996.3) (-13.9),Fassel (2014.5) (+10.6),Fassel (2014.5),Fassel (2014.5),Fassel (2014.5),Garen (2014.7),Fassel (2021.5) (+7.0),David Roig (2006.5) (+80.6),Fassel (2009.6),Fassel (2009.6),Fassel (2009.6),Fassel (2009.6),David Roig (2006.5),Fassel (2009.6),Fassel (2009.6),Oleg (2021.9) (+99.9),Oleg (2021.9),Oleg (2021.9),Oleg (2021.7) (-0.2),Oleg (2021.7),David Roig (1998.0) (-8.5),Willie (1998.5) (+21.3),Sameer (2009.7) (+31.5),Sameer (1998.7) (-11.0),Alejo (1989.1),Sameer (1998.7),Sameer (1998.7),Charlie (1982.3)
9,Alejo (1823.2),Roeland (1830.8) (+29.0),Shevy (1845.5) (-27.5),Alejo (1846.5) (-24.0),Rudi (1850.9),Sammy (1877.4),Sammy (1877.4),Sammy (1877.4),Vadym (1880.3) (+14.3),Sammy (1877.4),Sammy (1877.4),John H (1892.2) (+79.7),Vivian (1891.4) (-4.0),Clemens (1911.5) (-44.4),Clemens (1911.5),Clemens (1911.5),Clemens (1911.5),Vivian (1919.2) (+36.9),Will P (1913.2),Shevy (1921.4),Shevy (1921.4),Shevy (1921.4),Shevy (1921.4),Shevy (1921.4),Eric L (1933.2) (+26.0),Sammy (1926.8),Alejo (1936.4) (+15.7),Truuvy (1939.9),Vivian (1932.0) (-16.2),Charlie (1940.9) (-21.4),Garen (1949.0) (+31.7),Eric L (1950.9),Charlie (1960.1) (+19.2),Truuvy (1931.1),Truuvy (1928.6) (-2.5),Roeland (1964.6),Eric L (1947.9) (+27.5),Sammy (1978.8),Rudi (1976.2) (-6.6),Sammy (1978.8),Sammy (1978.8),Rudi (1970.1),Rudi (1964.5) (-5.6),Eric L (1960.0),Rudi (1959.4) (-5.2),Alex A (1949.1),Charlie (1952.5) (+40.8),Sameer (1950.3) (-85.8),Sameer (1950.3),Sameer (1950.3),Sameer (1950.3),Alejo (1975.5),Tom (1975.1),Alejo (1975.5),Alejo (1976.2) (+0.7),Vincent (1974.1),Vincent (1974.1),Fassel (2004.0) (+39.7),Willie (1990.8) (-15.2),Eric L (2009.0),Eric L (1987.8) (-21.2),Tom T (1971.2) (+28.1),Eric L (1983.3) (+60.8),Fassel (2014.5),Garen (2005.5) (-9.2),Garen (2005.5),David Roig (2006.5),David Roig (2006.5),David Roig (2006.5),David Roig (2006.5),Roeland (2004.6) (-9.1),David Roig (2006.5),David Roig (2006.5),Fassel (2009.6),Fassel (2009.6),Fassel (2009.6),David Roig (2006.5),Willie (2017.3) (-44.4),Charlie (1997.7),David Roig (1998.0),Alex Y (2009.5) (-63.0),David Roig (1990.2),Willie (1984.7) (-19.1),Alejo (1989.1),Darran (1982.9) (+45.0),David Roig (1976.3)
10,Vadym (1817.0),Alejo (1808.6) (-14.5),Roeland (1830.8),Giles (1832.3) (+26.0),Vincent (1847.6),Darran (1867.0),Darran (1867.0),Darran (1867.0),Sammy (1877.4),Darran (1867.0),Alex A (1868.2),Pierre (1885.3),Alex Y (1887.3) (+42.2),John H (1892.2),John H (1892.2),John H (1892.2),Sammy (1905.7) (+28.3),Will P (1913.2) (+85.3),Clemens (1911.5),Alejo (1914.8) (+39.6),Alejo (1914.8),Alejo (1914.8),Clemens (1911.5),Alejo (1918.6) (+9.4),Sammy (1926.8),Alejo (1920.6) (-16.6),Sammy (1923.1) (-3.7),Vincent (1936.0) (+38.1),Alejo (1927.5) (-54.0),Truuvy (1936.7),Charlie (1940.9),Charlie (1940.9),Eric L (1946.0) (-4.9),Eric L (1920.4) (-25.6),Tom (1926.7) (+17.9),Truuvy (1928.6),Roeland (1926.8) (-37.8),Alex A (1946.9) (-18.3),Greg (1949.7) (+10.0),Rudi (1976.2),Rudi (1970.1) (-6.1),Eric L (1960.0),Eric L (1960.0),Alex A (1949.1),Roeland (1949.2) (-31.8),Vivian (1945.8) (+74.2),Alex A (1949.1),Alex A (1949.1),Rudi (1950.2) (-4.4),Rudi (1950.2),Alex A (1949.1),Tom (1975.1),Tom T (1961.0) (-59.7),Tom (1975.1),Tom (1975.1),Fassel (1961.1) (-63.9),Fassel (1964.3) (+3.1),Tom (1975.1),Vincent (1975.7) (+1.5),Tom (1975.1),Tom (1969.1) (-6.0),Tom (1969.1),Tom T (1966.3) (-4.8),Tom T (1972.3) (+6.0),Tom T (1972.3),Charlie (2005.2) (-38.7),Garen (1997.1) (-8.4),Charlie (1997.7) (-32.7),Charlie (1997.7),Charlie (1997.7),Charlie (1997.7),Roeland (2004.6),Charlie (1997.7),David Roig (2006.5),David Roig (2006.5),David Roig (2006.5),Fassel (1999.8) (-9.9),David Roig (2006.5),Darran (1989.5),Charlie (1997.7),David Roig (1990.2) (-7.8),Alejo (1989.1),David Roig (1983.0) (-7.2),David Roig (1983.0),Charlie (1982.3),Darran (1971.3) (-11.6)
