Date,Winner,Fencers in Poules,Fencers in DEs,Total Matches,Poule Matches,DE Matches,5-0 Scores,5-1 Scores,5-2 Scores,5-3 Scores,5-4 Scores,Unknown Scores,Total Touches,Avg Touches/Match
2025-05-06,Eric L,26,23,160,112,48,8,11,25,36,30,2,839,7.49
2025-05-13,Greg,23,22,158,113,45,5,16,26,32,33,1,856,7.58
2025-05-20,Rudi,26,23,165,117,48,9,15,17,34,39,3,877,7.5
2025-05-27,Truuvy,17,14,99,74,25,4,13,17,16,24,0,561,7.58
2025-06-03,Alejo,16,14,86,61,25,2,8,8,21,22,0,480,7.87
2025-06-10,Greg,20,19,123,93,30,3,13,18,35,24,0,715,7.69
2025-06-17,Greg,22,20,126,86,40,2,11,18,23,31,1,665,7.73
2025-06-24,Greg,14,13,76,54,22,4,11,11,13,15,0,402,7.44
2025-07-01,Greg,16,15,77,49,28,2,6,13,13,15,0,376,7.67
2025-07-08,Greg,16,15,89,61,28,1,4,16,16,21,3,458,7.51
2025-07-15,Alex A,11,8,55,43,12,3,5,9,13,13,0,329,7.65
2025-09-01,Greg,12,11,65,48,17,2,6,11,8,21,0,376,7.83
2025-09-09,Sameer,15,13,87,65,22,1,13,16,16,18,1,485,7.46
2025-09-16,Greg,16,15,104,76,28,4,11,16,25,18,2,560,7.37
2025-09-23,Alejo,18,16,103,71,32,3,8,10,29,21,0,554,7.8
2025-09-30,Garen,17,15,87,59,28,6,4,18,17,14,0,442,7.49
2025-10-07,Garen,22,17,127,94,33,4,13,28,21,24,4,678,7.21
2025-10-14,Charlie,19,15,99,71,28,3,7,12,26,20,3,529,7.45
2025-10-21,Willie,20,16,120,91,29,5,8,15,25,36,2,702,7.71
2025-10-28,Fasal,16,14,70,45,25,2,9,6,15,13,0,343,7.62
2025-11-04,Greg,24,22,146,101,45,3,14,19,36,29,0,781,7.73
2025-11-10,Unknown,16,17,79,55,24,1,9,10,18,17,0,426,7.75
2025-11-18,Roeland,21,20,127,87,40,5,12,18,27,25,0,664,7.63
2025-11-25,Greg,25,22,152,107,45,12,10,25,29,29,2,788,7.36
2025-12-02,Greg,23,21,142,100,42,6,7,28,25,32,2,756,7.56
2025-12-09,Greg,26,20,145,106,39,9,13,19,36,24,5,760,7.17
2025-12-16,Willie,22,16,127,95,32,7,13,10,30,34,1,729,7.67
2026-01-06,Greg,15,15,93,65,28,6,6,13,24,16,0,493,7.58
2026-01-13,Sameer,21,19,115,78,37,7,11,15,16,28,1,586,7.51
2026-01-20,Willie,25,24,159,107,52,3,13,21,36,31,3,807,7.54
2026-01-27,Charlie,18,15,100,72,28,6,6,19,20,21,0,548,7.61
2026-02-03,Eric L,22,20,123,83,40,6,16,24,25,12,0,602,7.25
2026-02-10,Eric L,23,22,149,104,45,6,17,29,29,23,0,774,7.44
2026-02-17,Alejo,25,22,157,112,45,8,8,22,31,40,3,850,7.59
2026-02-24,Willie,20,18,106,71,35,1,9,19,13,29,0,557,7.85
2026-03-03,Alex Y,21,19,124,87,37,2,15,11,28,31,0,680,7.82
2026-03-10,Alex Y,29,25,189,135,54,4,22,23,36,47,3,1024,7.59
2026-03-17,Greg,12,11,64,48,16,1,11,7,18,10,1,354,7.38
2026-03-24,Fassel,23,23,131,93,38,6,10,22,25,29,1,705,7.58
2026-04-14,Greg,28,27,188,128,60,10,12,30,43,30,3,946,7.39
2026-04-21,Greg,27,25,153,99,54,5,13,29,24,24,4,714,7.21
